,A,B,SACTRAK,PHASE2,unique_lanevals
580,264,7343,,,[1]
581,265,3027,,,[1]
582,265,8276,,,[1]
583,266,4425,,,[1]
584,267,3222,,,[1]
585,267,4425,,,[1]
586,267,13589,,,[1]
587,268,4422,,,[1]
588,268,4424,,,[1]
589,269,8279,,,[1]
590,270,3304,,,[1]
591,270,8277,,,[1]
592,270,8278,,,[1]
593,271,4631,,,[1]
594,272,7069,,,[1]
595,272,15122,,,[1]
596,272,15124,,,[1]
597,272,15199,,,[1]
598,272,15819,,,[1]
599,272,15820,,,[1]
600,273,2987,,,[1]
601,273,7069,,,[1]
602,273,14858,,,[1]
603,274,9539,,,[1]
604,275,8182,,,[1]
605,275,13644,,,[1]
606,276,6607,,,[1]
607,276,6608,,,[1]
608,276,8179,,,[1]
609,276,14857,,,[1]
610,277,8179,,,[1]
611,277,15123,,,[1]
612,277,15124,,,[1]
613,277,15816,,,[1]
614,277,15820,,,[1]
615,278,4630,,,[1]
616,279,1403,,,[1]
617,279,2977,,,[1]
618,280,1405,,,[1]
619,280,4925,,,[1]
620,280,5696,,,[1]
621,281,2914,,,[1]
622,281,3303,,,[1]
623,282,2902,,,[1]
624,283,2904,,,[1]
625,284,3311,,,[1]
626,285,14497,,,[1]
627,286,11499,,,[0 1]
628,286,11503,,,[1]
629,287,1401,,,[1]
630,287,11492,,,[0 1]
631,287,11493,,,[1]
632,287,11496,,,[0 1]
633,287,11497,,,[0 1]
634,287,11498,,,[0 1]
635,288,3001,,,[1]
636,288,8484,,,[1]
637,289,2980,,,[1]
638,289,2983,,,[1]
639,290,4411,,,[1]
640,290,8221,,,[1]
641,291,3302,,,[1]
642,292,6089,,,[1]
643,293,1148,,,[1]
644,293,1416,,,[1]
645,293,4639,,,[1]
646,294,2907,,,[1]
647,294,3312,,,[1]
648,294,6613,,,[1]
649,295,300,,,[1]
650,295,8230,,,[1]
651,295,8231,,,[1]
652,296,2918,,,[1]
653,296,4635,,,[1]
654,297,2944,,,[1]
655,297,2969,,,[1]
656,298,2968,,,[1]
657,298,2969,,,[1]
658,299,3325,,,[1]
659,300,295,,,[1]
660,300,3325,,,[1]
661,300,4484,,,[1]
662,301,2954,,,[1]
663,301,4634,,,[1]
664,301,8227,,,[1]
665,301,8228,,,[1]
666,301,8658,,,[1]
667,302,2955,,,[1]
668,302,8229,,,[1]
669,303,6610,,,[1]
670,303,8224,,,[1]
671,303,15198,,,[1]
672,304,6611,,,[1]
673,304,8225,,,[1]
674,305,2952,,,[1]
675,305,2965,,,[1]
676,305,8228,,,[1]
677,306,309,,,[1]
678,306,2940,,,[1]
679,306,2952,,,[1]
680,306,6612,,,[1]
681,307,2907,,,[1]
682,307,2915,,,[1]
683,307,2940,,,[1]
684,308,2916,,,[1]
685,308,2942,,,[1]
686,308,15197,,,[1]
687,309,306,,,[1]
688,309,2950,,,[1]
689,310,3321,,,[1]
690,310,3326,,,[1]
691,311,3326,,,[1]
692,311,4483,,,[1]
693,311,8223,,,[1]
694,312,2991,,,[1]
695,312,3320,,,[1]
696,312,4312,,,[1]
697,313,318,,,[1]
698,313,1513,,,[1]
699,313,3333,,,[2 1]
700,313,4483,,,[2 1]
701,314,3332,,,[1]
702,314,14221,,,[1]
703,315,3336,,,[1]
704,315,3339,,,[1]
705,315,13628,,,[1]
706,315,13632,,,[1]
707,316,2971,,,[1]
708,316,3337,,,[1]
709,317,319,,,[1]
710,317,3338,,,[1]
711,317,3339,,,[1]
712,317,3340,,,[1]
713,318,313,,,[1]
714,318,3335,,,[1]
715,318,3337,,,[1]
716,318,14600,,,[1]
717,319,317,,,[1]
718,319,3334,,,[1]
719,320,1413,,,[1]
720,320,2970,,,[1]
721,320,6015,,,[1]
722,320,14616,,,[1]
723,321,3342,,,[1]
724,321,6618,,,[1]
725,321,13629,,,[1]
726,321,13631,,,[1]
727,322,4450,,,[1]
728,322,4452,,,[1]
729,322,6015,,,[1]
730,323,6033,,,[1]
731,323,14236,,,[1]
732,323,14237,,,[1]
733,324,2294,,,[1]
734,324,14252,,,[1]
735,324,15652,,,[1]
736,325,3342,,,[1]
737,325,4481,,,[1]
738,325,6619,,,[1]
739,325,14676,,,[1]
740,326,3340,,,[1]
741,326,4481,,,[1]
742,326,14675,,,[1]
743,327,2337,,,[1]
744,327,4417,,,[1]
745,327,8233,,,[1]
746,328,3347,,,[1]
747,328,4417,,,[1]
748,329,4413,,,[1]
749,330,3018,,,[1]
750,330,4448,,,[1]
751,330,14220,,,[1]
752,331,3036,,,[1]
753,331,3332,,,[1]
754,331,14222,,,[1]
755,332,3036,,,[1]
756,332,4479,,,[1]
757,333,8233,,,[1]
758,333,8234,,,[1]
759,334,3295,,,[1]
760,334,4428,,,[1]
761,334,4440,,,[1]
762,334,4840,,,[1]
763,335,8051,,,[1]
764,335,8052,,,[1]
765,335,8053,,,[1]
766,335,8285,,,[1]
767,336,8053,,,[1]
768,336,8054,,,[1]
769,336,8055,,,[1]
770,337,3275,,,[1]
771,337,4693,,,[1]
772,338,5363,,,[1]
773,339,4443,,,[1]
774,339,8266,,,[1]
775,340,2316,,,[1]
776,340,8282,,,[1]
777,341,3268,,,[1]
778,342,344,,,[1]
779,342,3245,,,[1]
780,343,4584,,,[1]
781,343,14218,,,[1]
782,344,342,,,[1]
783,344,4172,,,[1]
784,344,8280,,,[1]
785,345,3249,,,[1]
786,345,3257,,,[1]
787,345,11261,,,[1]
788,346,3239,,,[1]
789,346,4435,,,[1]
790,347,3207,,,[1]
791,347,3239,,,[1]
792,347,8252,,,[1]
793,347,8253,,,[1]
794,348,3257,,,[1]
795,348,3264,,,[1]
796,348,8282,,,[1]
797,349,3268,,,[1]
798,349,3269,,,[1]
799,350,2313,,,[1]
800,350,8253,,,[1]
801,350,8254,,,[1]
802,350,8255,,,[1]
803,351,3211,,,[1]
804,351,3243,,,[1]
805,352,4686,,,[1]
806,352,8254,,,[1]
807,353,2305,,,[1]
808,353,8264,,,[1]
809,353,8283,,,[1]
810,353,8284,,,[1]
811,353,8405,,,[1]
812,354,2306,,,[1]
813,354,4313,,,[1]
814,354,8284,,,[1]
815,354,8285,,,[1]
816,355,2304,,,[1]
817,355,8257,,,[1]
818,355,8264,,,[1]
819,355,8265,,,[1]
820,356,3214,,,[1]
821,356,3298,,,[1]
822,356,4438,,,[1]
823,356,8261,,,[1]
824,357,3253,,,[1]
825,357,4438,,,[1]
826,357,8263,,,[1]
827,358,3213,,,[1]
828,358,3243,,,[1]
829,359,3261,,,[1]
830,359,3275,,,[1]
831,359,8405,,,[1]
832,360,3253,,,[1]
833,360,3261,,,[1]
834,361,3216,,,[1]
835,361,3299,,,[1]
836,361,8060,,,[1]
837,362,3255,,,[1]
838,362,3299,,,[1]
839,362,8060,,,[1]
840,363,3388,,,[1]
841,363,8290,,,[1]
842,364,3387,,,[1]
843,364,3388,,,[1]
844,364,8056,,,[1]
845,365,3255,,,[1]
846,365,3262,,,[1]
847,365,3278,,,[1]
848,365,8057,,,[1]
849,366,2302,,,[1]
850,366,3385,,,[1]
851,366,8059,,,[1]
852,367,3162,,,[1]
853,367,3167,,,[1]
854,367,8219,,,[1]
855,368,3177,,,[1]
856,368,4315,,,[1]
857,368,4412,,,[1]
